steps,steps_tile,tiles,moved_tiles
12338,11074,100,84
8795,7691,100,75
11854,10465,100,99
65,54,100,4
6220,5633,100,53
9628,8618,100,72
6741,6053,100,55
9055,8136,100,68
22088,20399,100,86
8505,7319,100,81
7880,7107,100,64
10741,9675,100,78
13888,12188,100,103
12313,11101,100,90
14218,12654,100,111
41,31,100,4
10678,9509,100,84
13207,11674,100,110
11049,9057,100,101
14604,12952,100,111
12908,11612,100,92
15357,13793,100,109
91271,83166,100,317
8818,7810,100,71
23237,20580,100,175
14620,12613,100,117
6,6,2,0
7160,6461,100,60
13212,12025,100,92
23643,21182,100,97
68300,63789,100,235
13170,11646,100,104
9986,8836,100,81
20517,18763,100,63
14082,12497,100,97
17707,15934,100,131
12680,11355,100,91
9064,8160,100,65
6173,5600,100,49
9283,8144,100,79
8738,7863,100,64
14415,12519,100,116
17687,15729,100,141
11337,10171,100,87
15390,13557,100,113
106801,96169,100,341
18994,16839,100,136
14392,12877,100,102
9591,8642,100,78
9834,8895,100,75
6866,6229,100,51
11707,10393,100,95
14389,12881,100,101
10600,9664,100,75
9446,8257,100,74
9217,8284,100,74
17854,15148,100,108
8701,7663,100,85
15687,14038,100,113
16321,14565,100,117
10377,9310,100,84
10260,9186,100,74
7983,7223,100,55
14055,12587,100,105
10069,9099,100,76
10244,9209,100,80
15735,13886,100,123
11657,10528,100,94
6914,6029,100,62
15804,14207,100,121
13060,11372,100,98
12057,10581,100,100
10281,9170,100,77
8313,7581,100,56
30093,27752,100,120
13538,12040,100,99
34344,32169,100,137
15327,13840,100,108
14614,13178,100,100
14888,13066,100,112
13414,12329,100,55
15768,14129,100,118
8984,8081,100,67
31580,29505,100,92
12831,11232,100,100
13755,12323,100,104
28074,25009,100,155
12750,11408,100,93
46077,41970,100,179
16571,14635,100,117
15107,13446,100,137
15859,14277,100,107
8954,7802,100,88
14355,12990,100,96
10517,9340,100,84
8011,7172,100,78
13405,11735,100,113
14300,12876,100,101
14013,12829,100,93
8644,7906,100,61
10302,9060,100,79
6111,5466,100,51
8795,7925,100,66
9373,8356,100,69
16665,14870,100,123
9335,8431,100,71
9100,8104,100,85
12391,11088,100,101
15002,13255,100,111
17876,15955,100,127
123,94,100,9
16660,15019,100,114
12122,10863,100,84
16,15,100,1
9562,8592,100,74
71816,66074,100,257
22272,19610,100,169
380,282,100,17
13939,12206,100,109
14818,13204,100,108
7781,7019,100,57
7168,6115,100,65
8794,7971,100,69
15215,13756,100,109
12240,11004,100,99
13112,11719,100,99
5026,4451,100,45
93590,87446,100,201
14547,13047,100,97
15126,13296,100,110
96093,88947,100,208
37995,35354,100,136
11301,10100,100,90
13022,11694,100,89
14134,12634,100,106
10987,9844,100,80
10411,9155,100,90
15330,13828,100,111
8785,8308,100,26
9208,8218,100,73
14027,12605,100,100
9451,8405,100,79
9333,8391,100,69
8837,7835,100,73
10965,10002,100,80
12368,11213,100,83
13215,11179,100,110
8879,7898,100,75
24616,21833,100,160
5653,5085,100,51
16673,14652,100,129
8233,7265,100,78
5505,4893,100,49
15100,13536,100,110
23,21,100,1
6079,5479,100,51
12853,11442,100,97
