steps,steps_tile,tiles,moved_tiles
233918,222775,500,361
223610,212782,500,348
342892,325038,500,508
195557,186012,500,329
210938,200776,500,333
292473,279453,500,430
275353,262116,500,414
156972,146655,500,358
142397,135151,500,253
233918,222775,500,361
223610,212782,500,348
342892,325038,500,508
195557,186012,500,329
210938,200776,500,333
292473,279453,500,430
275353,262116,500,414
156972,146655,500,358
142397,135151,500,253
218168,208074,500,348
261157,247840,500,413
210349,200843,500,321
284962,270795,500,445
180321,171530,500,300
215105,203787,500,332
246089,233318,500,383
196427,187453,500,291
358472,342440,500,496
231149,218807,500,367
274283,259941,500,431
265247,251716,500,426
212372,202620,500,317
216586,205453,500,331
227933,217198,500,363
285598,270344,500,463
233965,221900,500,375
759549,732275,500,585
198356,187874,500,347
277746,264191,500,416
281818,266969,500,472
434629,419511,500,419
228019,216434,500,379
206802,198307,500,246
296748,281423,500,452
264070,252100,500,394
280154,267874,500,400
293413,277545,500,453
164937,157344,500,257
201119,191992,500,290
168958,160458,500,287
279006,265011,500,444
178202,169953,500,279
317356,302771,500,472
203294,192261,500,354
230603,220119,500,344
225648,213556,500,375
390267,371102,500,583
231288,219015,500,364
243817,231056,500,398
300768,286567,500,457
265079,253886,500,379
403438,382708,500,576
264794,253021,500,391
132489,125459,500,241
581843,557602,500,597
1992392,1933872,500,1095
250176,238063,500,357
134198,127624,500,222
214212,203479,500,340
418522,397003,500,617
169866,160686,500,317
297271,280972,500,456
337248,321353,500,497
241898,230835,500,371
124900,118171,500,248
207809,197829,500,334
163361,155967,500,261
350227,329600,500,541
2130433,2056195,500,1422
240970,228517,500,382
265552,251513,500,427
294208,278221,500,439
213976,203082,500,338
251536,239459,500,371
242870,232005,500,356
222338,210124,500,372
342403,322521,500,543
208171,197025,500,366
1937479,1861809,500,1220
208865,199548,500,307
264539,251448,500,435
234638,222178,500,374
215441,205256,500,330
313393,298140,500,454
151812,144131,500,253
273045,260622,500,390
263319,249802,500,417
260212,248422,500,383
237828,226618,500,365
262549,249803,500,398
172948,164444,500,279
229770,217973,500,397
281151,269251,500,382
270596,258014,500,402
176290,168361,500,272
294413,279649,500,440
181341,171360,500,309
309242,292915,500,475
471660,451834,500,544
228264,218009,500,355
162644,155389,500,257
1440780,1384927,500,1099
175484,166171,500,318
1786198,1744487,500,776
224195,212539,500,389
270581,257828,500,424
502116,479776,500,609
263712,250727,500,403
148047,139486,500,272
362140,343096,500,554
933256,881446,500,995
190313,181132,500,314
282286,269664,500,405
323033,307063,500,503
303725,287940,500,411
204345,193598,500,324
263545,250087,500,397
288935,275232,500,451
279830,267753,500,407
293489,280237,500,423
231884,219713,500,372
194119,182339,500,333
178757,170007,500,293
242234,230990,500,379
236795,225180,500,380
318123,303811,500,435
278049,266111,500,395
1189350,1151402,500,916
172201,161701,500,297
207819,197594,500,339
284744,269835,500,446
341343,323948,500,526
273642,258387,500,434
318387,301674,500,463
376836,358534,500,562
272695,261381,500,359
267581,254143,500,408
325374,309012,500,485
182992,173335,500,295
167522,158294,500,303
123074,114759,500,207
1099974,1062158,500,765
251860,240766,500,376
139738,133062,500,227
228999,217132,500,365
194802,183868,500,325
335701,320467,500,502
283963,268581,500,390
326057,309826,500,479
239425,228277,500,362
1545281,1486918,500,1139
563759,538604,500,658
296578,282528,500,407
2983244,2876171,500,1444
175553,167499,500,280
243185,229294,500,413
268655,257023,500,382
225337,214740,500,347
181905,172693,500,312
220597,209661,500,349
316819,300045,500,492
311325,295928,500,466
243462,232792,500,348
318439,304229,500,450
143418,134880,500,255
